"date","fsa","dose","coverage"
2021-03-29,"K4M","dose_3",NA
2021-03-29,"K4P","dose_1",0.0798051705
2021-03-29,"K4P","dose_2",NA
2021-03-29,"K4P","dose_3",NA
2021-03-29,"K4R","dose_1",0.0882252753
2021-03-29,"K4R","dose_2",NA
2021-03-29,"K4R","dose_3",NA
2021-03-29,"K6A","dose_1",0.1008775164
2021-03-29,"K6A","dose_2",NA
2021-03-29,"K6A","dose_3",NA
2021-03-29,"K6H","dose_1",0.089976825
2021-03-29,"K6H","dose_2",NA
2021-03-29,"K6H","dose_3",NA
2021-03-29,"K6J","dose_1",0.0947316754
2021-03-29,"K6J","dose_2",NA
2021-03-29,"K6J","dose_3",NA
2021-03-29,"K6K","dose_1",0.0966898955
2021-03-29,"K6K","dose_2",NA
2021-03-29,"K6K","dose_3",NA
2021-03-29,"K6T","dose_1",0.1331220285
2021-03-29,"K6T","dose_2",NA
2021-03-29,"K6T","dose_3",NA
2021-03-29,"K6V","dose_1",0.1274701487
2021-03-29,"K6V","dose_2",NA
2021-03-29,"K6V","dose_3",NA
2021-03-29,"K7A","dose_1",0.097570446
2021-03-29,"K7A","dose_2",NA
2021-03-29,"K7A","dose_3",NA
2021-03-29,"K7C","dose_1",0.1056113698
2021-03-29,"K7C","dose_2",NA
2021-03-29,"K7C","dose_3",NA
2021-03-29,"K7G","dose_1",0.1830842391
2021-03-29,"K7G","dose_2",NA
2021-03-29,"K7G","dose_3",NA
2021-03-29,"K7H","dose_1",0.1317843752
2021-03-29,"K7H","dose_2",NA
2021-03-29,"K7H","dose_3",NA
2021-03-29,"K7K","dose_1",0.1506800072
2021-03-29,"K7K","dose_2",NA
2021-03-29,"K7K","dose_3",NA
2021-03-29,"K7L","dose_1",0.2313729825
2021-03-29,"K7L","dose_2",NA
2021-03-29,"K7L","dose_3",NA
2021-03-29,"K7M","dose_1",0.2071877735
2021-03-29,"K7M","dose_2",NA
2021-03-29,"K7M","dose_3",NA
2021-03-29,"K7N","dose_1",0.177957178
2021-03-29,"K7N","dose_2",NA
2021-03-29,"K7N","dose_3",NA
2021-03-29,"K7P","dose_1",0.1896952686
2021-03-29,"K7P","dose_2",NA
2021-03-29,"K7P","dose_3",NA
2021-03-29,"K7R","dose_1",0.1599031287
2021-03-29,"K7R","dose_2",NA
2021-03-29,"K7R","dose_3",NA
2021-03-29,"K7S","dose_1",0.1258425405
2021-03-29,"K7S","dose_2",NA
2021-03-29,"K7S","dose_3",NA
2021-03-29,"K7V","dose_1",0.12593323
2021-03-29,"K7V","dose_2",NA
2021-03-29,"K7V","dose_3",NA
2021-03-29,"K8A","dose_1",0.1240065364
2021-03-29,"K8A","dose_2",NA
2021-03-29,"K8A","dose_3",NA
2021-03-29,"K8B","dose_1",0.1370143149
2021-03-29,"K8B","dose_2",NA
2021-03-29,"K8B","dose_3",NA
2021-03-29,"K8H","dose_1",0.0683437222
2021-03-29,"K8H","dose_2",NA
2021-03-29,"K8H","dose_3",NA
2021-03-29,"K8N","dose_1",0.1427495528
2021-03-29,"K8N","dose_2",NA
2021-03-29,"K8N","dose_3",NA
2021-03-29,"K8P","dose_1",0.1292605057
2021-03-29,"K8P","dose_2",NA
