"date","fsa","hot_spot_fsa","cum_cases_per_100","cum_hospitalizations_deaths_per_1000","cum_hospitalizations_per_1000","cum_deaths_per_1000"
2021-03-29,"K9L",0,0.3109304,0.35876584549151,NA,NA
2021-03-29,"K9V",0,0.54945055,0.29611107455419,NA,NA
2021-03-29,"L0A",0,0.46678862,0,NA,NA
2021-03-29,"L0B",0,0.80071174,0.59311981020166,NA,NA
2021-03-29,"L0C",0,0.72185244,0.65622949282835,NA,NA
2021-03-29,"L0E",0,1.1098403,0.63540475282755,NA,NA
2021-03-29,"L0G",0,1.91723266,0.91782414489384,NA,NA
2021-03-29,"L0H",0,1.48926851,0,NA,NA
2021-03-29,"L0J",1,3.27560241,1.50602409638554,NA,NA
2021-03-29,"L0K",0,0.47511878,0.35008752188047,NA,NA
2021-03-29,"L0L",0,0.82835912,0.46696714987615,NA,NA
2021-03-29,"L0M",0,0.9497863,0.44989877277613,NA,NA
2021-03-29,"L0N",0,0.93220339,0.42372881355932,NA,NA
2021-03-29,"L0P",0,1.58561243,0.63850164946259,NA,NA
2021-03-29,"L0R",0,1.7859215,0.66457799297446,NA,NA
2021-03-29,"L0S",0,1.25699212,0.82634121535723,NA,NA
2021-03-29,"L1A",0,0.47144477,0.17902965924688,NA,NA
2021-03-29,"L1B",0,0.98795702,1.22593206894065,NA,NA
2021-03-29,"L1C",0,1.04640759,0.58349865795309,NA,NA
2021-03-29,"L1E",0,0.99062037,0.26328780648346,NA,NA
2021-03-29,"L1G",0,1.26554515,0.61412936196346,NA,NA
2021-03-29,"L1H",0,1.2157364,0.82374662689959,NA,NA
2021-03-29,"L1J",0,1.30257511,0.55793991416309,NA,NA
2021-03-29,"L1K",0,1.48891372,0.58009625300791,NA,NA
2021-03-29,"L1L",0,2.14457831,0.24096385542169,NA,NA
2021-03-29,"L1M",0,0.9586833,0.38177653346908,NA,NA
2021-03-29,"L1N",0,1.35638694,0.72663586227456,NA,NA
2021-03-29,"L1P",0,1.82739763,0.93370681605976,NA,NA
2021-03-29,"L1R",0,1.70075444,0.93759539488029,NA,NA
2021-03-29,"L1S",1,2.17886458,1.11736645322102,NA,NA
2021-03-29,"L1T",1,3.07370884,1.05298345311717,NA,NA
2021-03-29,"L1V",1,2.54840451,1.55164271739864,NA,NA
2021-03-29,"L1W",0,1.63198694,0.76499388004896,NA,NA
2021-03-29,"L1X",1,3.61067504,1.49328023892484,NA,NA
2021-03-29,"L1Y",0,1.29496403,1.43884892086331,NA,NA
2021-03-29,"L1Z",1,3.02043566,0.9263417920503,NA,NA
2021-03-29,"L2A",0,1.28976784,1.18228718830611,NA,NA
2021-03-29,"L2E",0,1.56915386,1.48120718385484,NA,NA
2021-03-29,"L2G",1,1.96447965,1.21382482591197,NA,NA
2021-03-29,"L2H",0,2.17109527,2.10628645495787,NA,NA
2021-03-29,"L2J",0,1.67823344,1.82965299684543,NA,NA
2021-03-29,"L2M",0,1.53752389,1.10812532897471,NA,NA
2021-03-29,"L2N",0,1.48324766,1.14572366383848,NA,NA
